#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AE070F
#Date Time: 2025-04-23 12:10:13.720
#Trace: Trace 1
#Start: 0 Hz
#Stop: 5000 Hz
#BINs: 4097
#Rate: 10000 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.53121 V
#Offset: 0.000184734 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.48273 V
#Offset: 4.47872e-05 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Custom1
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Phase: 0 °

#Frequency (Hz),Trace 1 (V),Phase (deg)
0,0.0003654481683438135,0
1.220703125,0.0003505055683163478,172.781839179557
2.44140625,0.0002368095000534064,165.7000093385751
3.662109375,8.929180744871119e-05,154.6879585299935
4.8828125,3.130428882278159e-05,157.9199303453931
6.103515625,3.906273308940975e-05,25.76053108582214
7.32421875,7.75178769366361e-05,38.85768436646149
8.544921875,0.000107253975391266,38.69653344177235
9.765625,0.0001180116442923808,40.38256435139673
10.986328125,0.0001140958240826884,49.66707084129511
12.20703125,0.0001007462850555621,65.58495939024064
13.427734375,7.801313228138184e-05,79.51668696297016
14.6484375,4.843896636334347e-05,91.07121716856105
15.869140625,3.253664989477954e-05,94.26173282526226
17.08984375,3.198430911798118e-05,57.48253565542758
18.310546875,4.945346397636836e-05,28.29219947248928
19.53125,6.507447808104442e-05,28.19392457232456
20.751953125,7.4040876676682e-05,33.40644313631414
21.97265625,7.356460698576627e-05,35.26472924259922
23.193359375,6.27361662533219e-05,32.88685064337705
24.4140625,4.937170909555539e-05,18.45314085678408
25.634765625,4.326115368900716e-05,176.4954226754061
26.85546875,4.117231967054108e-05,161.6219499711221
28.076171875,4.142749794551653e-05,151.4727407432688
29.296875,3.340059665645147e-05,158.006664767982
30.517578125,2.408711945602161e-05,38.82925015433938
31.73828125,3.714986143860277e-05,80.1360769451812
32.958984375,4.504629172370554e-05,93.7178295358158
34.1796875,4.375142071766387e-05,94.22637775705753
35.400390625,2.291543223560529e-05,82.08628659876234
36.62109375,8.255193464252461e-06,12.73163663135886
37.841796875,1.665407931592156e-05,2.734575068954636
39.0625,2.646394637924476e-05,38.23468521393541
40.283203125,4.95732944989479e-05,71.59517367226823
41.50390625,7.77092333025691e-05,85.9430470853617
42.724609375,8.573641337160541e-05,95.27875080682747
43.9453125,8.065046362636872e-05,106.8417344614819
45.166015625,8.115256988757834e-05,116.3734096871162
46.38671875,7.516027202614673e-05,116.3798553545007
47.607421875,6.871814254698568e-05,106.5371662988115
48.828125,7.809023555990502e-05,89.91805946376911
50.048828125,8.558614253487972e-05,72.0269985183629
51.26953125,8.393108025742478e-05,60.7601444389321
52.490234375,7.223280801432343e-05,64.38331193024369
53.7109375,5.31210205914811e-05,74.89705701665034
54.931640625,3.716964386273283e-05,94.41617927406334
56.15234375,3.577583307494565e-05,129.2331042181209
57.373046875,4.909886483001093e-05,151.4213473491562
58.59375,7.062977234859796e-05,158.2573121352582
59.814453125,9.631003674854566e-05,162.5373797621146
61.03515625,0.0001203517371590118,167.9829360742203
62.255859375,0.0001219639531413568,172.5909756486297
63.4765625,9.879564498273694e-05,178.8747112461598
64.697265625,7.797064942436367e-05,7.635628226738407
65.91796875,5.168559956134527e-05,9.467430773441906
67.138671875,3.166359991006654e-05,174.1452715652558
68.359375,4.932948950438698e-05,164.4903468579224
69.580078125,7.650920537216164e-05,167.1885730030314
70.80078125,9.42687021034836e-05,177.2714311575447
72.021484375,0.0001040719143714325,9.643024430470508
73.2421875,9.251351838103773e-05,18.91264335813866
74.462890625,6.737534414664647e-05,33.74385796760522
75.68359375,4.41697351637629e-05,56.95795061348104
76.904296875,2.004136351012729e-05,55.38504962108471
78.125,2.091869672688006e-05,167.5502058827034
79.345703125,3.773045389625937e-05,158.6136490140059
80.56640625,4.751970183209074e-05,155.9413177354215
81.787109375,3.428838773708895e-05,165.835998253908
83.0078125,1.747340274832152e-05,54.73576046685513
84.228515625,2.717108395062952e-05,110.2196074238094
85.44921875,3.930274548294528e-05,117.7521689518841
86.669921875,4.276586583412285e-05,110.5522798209264
87.890625,3.033093408786807e-05,96.52651384418979
89.111328125,2.815339738002833e-05,65.89108309996483
90.33203125,3.355481598975095e-05,38.02932999275345
91.552734375,3.919828153743051e-05,11.13016493927142
92.7734375,4.648797756733367e-05,1.369097338150017
93.994140625,5.355386973989215e-05,172.8902745409296
95.21484375,5.725735095518425e-05,171.6177904748627
96.435546875,5.081822059639942e-05,174.4821410279363
97.65625,4.589530700979611e-05,156.3557075712941
98.876953125,4.797874614026584e-05,134.8260852330829
100.09765625,5.157935213568832e-05,135.664574866275
101.318359375,6.227390385624411e-05,142.754274440156
102.5390625,6.543824261073058e-05,150.7689049110926
103.759765625,6.668987307949531e-05,171.2017431088834
104.98046875,5.719485775678819e-05,1.58618349747048
106.201171875,2.553967783108384e-05,167.615636690754
107.421875,1.735996026953053e-05,68.14768071343622
108.642578125,2.875569913322767e-05,42.6395308413808
109.86328125,1.438068342554852e-05,46.77713743352565
111.083984375,1.424135346005142e-05,177.9091313584041
112.3046875,3.51176905265641e-05,176.5169053597419
113.525390625,4.494981364005588e-05,166.7503464764851
114.74609375,4.494249807020034e-05,144.8313106356508
115.966796875,5.145551896607647e-05,124.4161008101052
117.1875,4.523833604684005e-05,122.6941655387873
118.408203125,3.008424279917876e-05,133.4597144513263
119.62890625,2.071087058891475e-05,164.6246990425105
120.849609375,2.096742023049485e-05,46.02006548149366
122.0703125,2.936704157825683e-05,67.04293443487332
123.291015625,3.28365729576601e-05,54.86758707003031
124.51171875,4.767075054918186e-05,50.91653154230929
125.732421875,6.912113263683345e-05,48.71514909770338
126.953125,7.706747486274847e-05,38.89862528391181
128.173828125,7.544169498842283e-05,39.14859316331996
129.39453125,7.576672065686467e-05,53.26300517702537
130.615234375,6.449119102650916e-05,67.53814289256283
131.8359375,4.840953847643234e-05,97.03436081529577
133.056640625,5.216738366375063e-05,125.507998829215
134.27734375,4.862483848605263e-05,140.2008314785879
135.498046875,3.686479115492631e-05,156.4748308366132
136.71875,2.015769222961368e-05,153.628499923516
137.939453125,2.14732137134625e-05,55.7776825489373
139.16015625,5.000075740961695e-05,38.95261530864169
140.380859375,5.847267156906119e-05,47.5272717894389
141.6015625,4.373264939963189e-05,66.6757741410598
142.822265625,1.400037383955689e-05,142.0126161104673
144.04296875,4.737755889892986e-05,34.1637546893759
145.263671875,7.445792336973692e-05,45.84289162904777
146.484375,8.512313078563789e-05,62.94675674966473
147.705078125,7.338594217122666e-05,78.59512877415185
148.92578125,4.92163970975373e-05,87.25792376083417
150.146484375,3.702125727677085e-05,72.88869785807491
151.3671875,3.771028465313135e-05,42.67464959158527
152.587890625,5.204202402413592e-05,15.46929965884799
153.80859375,8.146436788632846e-05,11.00552568465488
155.029296875,9.54960034536278e-05,13.36637644637378
156.25,8.132467379354342e-05,8.488356489806025
157.470703125,6.290360546464805e-05,176.6385807265673
158.69140625,4.017059926558449e-05,169.6149722070765
159.912109375,1.237454433997781e-05,141.5516413076188
161.1328125,1.734779664185024e-05,47.83011002272875
162.353515625,2.471554157599361e-05,31.43414458002934
163.57421875,2.116734144163581e-05,41.44914541461131
164.794921875,3.50877443263532e-05,88.92614941419778
166.015625,6.254992692997349e-05,105.935605396883
167.236328125,8.294182426783185e-05,127.139799830871
168.45703125,9.20422089450622e-05,136.7137747550209
169.677734375,7.298969459582385e-05,129.8685824468916
170.8984375,5.36320892206322e-05,126.8943223738588
172.119140625,3.665090995867494e-05,119.8279130450219
173.33984375,2.504519059266903e-05,74.43491094398669
174.560546875,2.225578197188643e-05,62.4151412110966
175.78125,1.574149341177829e-05,108.8655242268276
177.001953125,1.925762481060919e-05,143.7277562304961
178.22265625,3.356784234468354e-05,147.6690338045613
179.443359375,5.203826016723843e-05,165.194725556348
180.6640625,6.213706537068015e-05,1.328801768268756
181.884765625,6.169717685974313e-05,7.1251081172321
183.10546875,6.985779178542862e-05,16.47063798152095
184.326171875,7.697751171346012e-05,22.51893978579687
185.546875,6.329686718428143e-05,27.09916103915899
186.767578125,5.797444019653671e-05,35.72329043548821
187.98828125,6.596256922276018e-05,31.48560058989067
189.208984375,6.885330702713759e-05,23.08211580603207
190.4296875,7.939246436703151e-05,21.53067933781498
191.650390625,9.346281177321764e-05,20.70376207613876
192.87109375,9.205413706387388e-05,23.92323436243406
194.091796875,8.630415921649264e-05,38.32820949584692
195.3125,8.824421523311808e-05,51.71071216721347
196.533203125,8.23397638140371e-05,55.787946208776
197.75390625,6.601024097740859e-05,52.80000091924619
198.974609375,5.227147987738254e-05,36.49586715653236
200.1953125,4.627775997301414e-05,8.699169743219965
201.416015625,5.105748730691954e-05,176.294643962614
202.63671875,5.893243701987611e-05,178.547181837332
203.857421875,5.743643526814543e-05,3.20698455359848
205.078125,5.001761662998059e-05,21.9034904824645
206.298828125,4.197976335486201e-05,42.44448270596253
207.51953125,2.758207084135393e-05,64.51366997556595
208.740234375,2.394838814254422e-05,77.14152842173408
209.9609375,2.656508086107061e-05,65.25812985093347
211.181640625,2.81736968759639e-05,84.02551475118533
212.40234375,4.270890441979457e-05,102.006113702066
213.623046875,6.866864669425963e-05,106.2328304941299
214.84375,9.503203614400598e-05,109.2704722514775
216.064453125,0.0001016506634525296,103.4338102850788
217.28515625,9.245687396468247e-05,93.46631359526259
218.505859375,6.418993566695091e-05,85.43015224302573
219.7265625,2.649573723597715e-05,53.33267372712687
220.947265625,3.260136241120492e-05,175.2744721161343
222.16796875,4.325714713938544e-05,165.5528395847245
223.388671875,4.582788548072331e-05,162.6774502229583
224.609375,5.949457959425087e-05,174.8428011340862
225.830078125,6.583805428639698e-05,179.2702249955024
227.05078125,4.034126484312816e-05,6.183362988292284
228.271484375,2.664383201156358e-05,39.67342510459186
229.4921875,3.754077049917334e-05,36.49496287606699
230.712890625,4.980899344942032e-05,32.68960949429408
231.93359375,5.783787318854105e-05,31.10954548110363
